MÃ SP,TÊN,GIÁ ,NGÀY SX,MÔ TẢ 
SP01,Gao ,18000,2023-10-01 00:00:00,"Gao thom dac san, hat dai, deo, va ngon"
SP02,Dau an 1L,30000,2024-05-15 00:00:00,"Dau an thuc vat, khong cholesterol, tot cho suc khoe"
SP03,Duong cat,20000,2024-01-01 00:00:00,"Duong tinh luyen, thich hop nau an va lam banh"
SP04,Muoi bien 500g,5000,2023-12-12 00:00:00,"Muoi bien tinh khiet, bo sung khoang chat"
SP05,Sua tuoi 1L,32000,2024-10-01 00:00:00,"Sua tuoi tiet trung, giau canxi va vitamin"
SP06,Mi goi ,3000,2023-05-05 00:00:00,"Mi goi an lien, huong vi thom ngon, tien loi"
SP07,Nuoc mam 500ml,25000,2022-08-28 00:00:00,"Nuoc mam nguyen chat, huong vi dam da"
SP08,Bot ngot 100g,8000,2022-12-21 00:00:00,"Bot ngot chat luong cao, gia vi khong the thieu trong bua an"
SP09,Banh mi ,15000,2021-11-11 00:00:00,"Banh mi mem, phu hop an sang"
SP10,Nuoc khoang 1.5L,7000,2023-07-12 00:00:00,"Nuoc khoang tinh khiet, bo sung khoang chat tu nhien"
SP11,Giay ve sinh ,20000,2023-01-01 00:00:00,"Giay ve sinh 3 lop, mem mai va dai"
SP12,Bot giat 1kg,35000,2023-08-08 00:00:00,"Bot giat trang sach, huong thom nhe nhang"
SP13,Nuoc rua chen ,15000,2024-10-10 00:00:00,"Nuoc rua chen co huong chanh, sach bong chen dia"
SP14,Kem danh rang ,20000,2024-09-05 00:00:00,"Kem danh rang ngua sau rang, hoi tho thom mat"
SP15,Khan giay an ,10000,2022-07-30 00:00:00,"Khan giay mem mai, dung trong cac bua an"
